domain_extension,price,renewal
.ac,45.0,45.0
.academy,33.18,33.18
.accountant,20.16,20.16
.accountants,81.18,81.18
.actor,31.18,31.18
.adult,85.18,85.18
.agency,21.18,21.18
.ai,70.0,70.0
.airforce,25.18,25.18
.apartments,40.18,40.18
.app,14.18,14.18
.army,27.18,27.18
.associates,28.18,28.18
.attorney,43.18,43.18
.auction,25.18,25.18
.audio,100.18,100.18
.baby,50.18,50.18
.band,22.18,22.18
.bar,50.18,50.18
.bargains,23.18,23.18
.beer,22.18,22.18
.bet,18.18,18.18
.bid,4.16,5.16
.bike,27.18,27.18
.bingo,41.18,41.18
.biz,15.18,15.18
.black,46.18,46.18
.blog,20.18,20.18
.blue,17.18,17.18
.boo,10.18,10.18
.boston,15.18,15.18
.boutique,25.18,25.18
.broker,24.18,24.18
.build,25.18,25.18
.builders,27.18,27.18
.business,12.68,12.68
.cab,23.18,23.18
.cafe,32.18,32.18
.cam,14.18,14.18
.camera,40.18,40.18
.camp,41.18,41.18
.capital,49.18,49.18
.cards,27.18,27.18
.care,30.18,30.18
.careers,50.18,50.18
.casa,7.68,7.68
.cash,25.18,25.18
.casino,118.18,118.18
.catering,27.18,27.18
.cc,8.0,8.0
.center,22.18,22.18
.ceo,70.18,70.18
.chat,27.18,27.18
.cheap,25.18,25.18
.christmas,30.18,30.18
.church,31.18,31.18
.city,18.18,18.18
.claims,46.18,46.18
.cleaning,52.68,52.68
.clinic,45.18,45.18
.clothing,25.18,25.18
.cloud,15.18,15.18
.club,12.18,12.18
.co,26.0,26.0
.co.uk,5.21,5.21
.coach,49.18,49.18
.codes,46.18,46.18
.coffee,27.18,27.18
.college,45.18,45.18
.com,10.44,10.44
.com.ai,70.0,70.0
.com.co,10.0,10.0
.community,28.18,28.18
.company,12.68,12.68
.compare,22.18,22.18
.computer,27.18,27.18
.condos,40.18,40.18
.construction,27.18,27.18
.consulting,36.18,36.18
.contact,11.18,11.18
.contractors,23.18,23.18
.cooking,22.18,22.18
.cool,27.18,27.18
.coupons,38.18,38.18
.credit,75.18,75.18
.creditcard,125.18,125.18
.cricket,20.16,20.16
.cruises,43.18,43.18
.dad,10.18,10.18
.dance,19.18,19.18
.date,4.16,5.16
.dating,45.18,45.18
.day,10.18,10.18
.dealer,2000.18,2000.18
.deals,27.18,27.18
.degree,34.18,34.18
.delivery,41.18,41.18
.democrat,23.18,23.18
.dental,50.18,50.18
.dentist,50.18,50.18
.design,40.18,40.18
.dev,12.18,12.18
.diamonds,38.18,38.18
.diet,100.18,100.18
.digital,29.18,29.18
.direct,27.18,27.18
.directory,18.18,18.18
.discount,23.18,23.18
.doctor,80.18,80.18
.dog,44.18,44.18
.domains,30.18,30.18
.download,4.16,5.16
.education,24.18,24.18
.email,21.18,21.18
