domain_extension,price,renewal
.ac,45.0,45.0
.academy,33.2,33.2
.accountant,20.18,20.18
.accountants,81.2,81.2
.actor,31.2,31.2
.adult,85.2,85.2
.agency,21.2,21.2
.ai,70.0,70.0
.airforce,25.2,25.2
.apartments,40.2,40.2
.app,14.2,14.2
.army,27.2,27.2
.associates,28.2,28.2
.attorney,43.2,43.2
.auction,25.2,25.2
.audio,100.2,100.2
.baby,50.2,50.2
.band,22.2,22.2
.bar,50.2,50.2
.bargains,23.2,23.2
.beer,22.2,22.2
.bet,18.2,18.2
.bid,4.18,5.18
.bike,27.2,27.2
.bingo,41.2,41.2
.biz,15.2,15.2
.black,46.2,46.2
.blog,20.2,20.2
.blue,17.2,17.2
.boo,10.2,10.2
.boston,15.2,15.2
.boutique,25.2,25.2
.broker,24.2,24.2
.build,25.2,25.2
.builders,27.2,27.2
.business,12.7,12.7
.cab,23.2,23.2
.cafe,32.2,32.2
.cam,14.2,14.2
.camera,40.2,40.2
.camp,41.2,41.2
.capital,49.2,49.2
.cards,27.2,27.2
.care,30.2,30.2
.careers,50.2,50.2
.casa,7.7,7.7
.cash,0,0
.casino,118.2,118.2
.catering,27.2,27.2
.cc,8.0,8.0
.center,22.2,22.2
.ceo,85.2,70.2
.chat,27.2,27.2
.cheap,25.2,25.2
.christmas,30.2,30.2
.church,31.2,31.2
.city,18.2,18.2
.claims,46.2,46.2
.cleaning,52.7,52.7
.clinic,45.2,45.2
.clothing,25.2,25.2
.cloud,20.2,20.2
.club,12.2,12.2
.co,26.0,26.0
.co.uk,5.21,5.21
.coach,49.2,49.2
.codes,46.2,46.2
.coffee,27.2,27.2
.college,45.2,45.2
.com,0,0
.com.ai,70.0,70.0
.com.co,10.0,10.0
.community,28.2,28.2
.company,12.7,12.7
.compare,22.2,22.2
.computer,27.2,27.2
.condos,40.2,40.2
.construction,27.2,27.2
.consulting,36.2,36.2
.contact,11.2,11.2
.contractors,23.2,23.2
.cooking,22.2,22.2
.cool,27.2,27.2
.coupons,38.2,38.2
.credit,75.2,75.2
.creditcard,125.2,125.2
.cricket,20.18,20.18
.cruises,43.2,43.2
.dad,10.2,10.2
.dance,19.2,19.2
.date,0,0
.dating,45.2,45.2
.day,10.2,10.2
.dealer,2000.2,2000.2
.deals,27.2,27.2
.degree,34.2,34.2
.delivery,41.2,41.2
.democrat,23.2,23.2
.dental,50.2,50.2
.dentist,50.2,50.2
.design,40.2,40.2
.dev,12.2,12.2
.diamonds,38.2,38.2
.diet,100.2,100.2
.digital,29.2,29.2
.direct,27.2,27.2
.directory,18.2,18.2
.discount,23.2,23.2
.doctor,80.2,80.2
.dog,44.2,44.2
.domains,30.2,30.2
.download,4.18,5.18
.education,24.2,24.2
.email,21.2,21.2
.energy,81.2,81.2
.engineer,27.2,27.2
.engineering,46.2,46.2
.enterprises,27.2,27.2
.equipment,17.2,17.2
.esq,20.2,20.2
.estate,27.2,27.2
.events,30.2,30.2
.exchange,27.2,27.2
.expert,42.2,42.2
.exposed,15.2,15.2
.express,27.2,27.2
.fail,25.2,25.2
.faith,10.18,10.18
.family,27.2,27.2
.fan,38.2,38.2
.fans,8.2,8.2
.farm,27.2,27.2
.fashion,22.2,22.2
.feedback,300.2,300.2
.finance,45.2,45.2
.financial,40.2,40.2
.fish,30.2,30.2
.fishing,22.2,22.2
.fit,22.2,22.2
.fitness,28.2,28.2
.flights,40.2,40.2
.florist,25.2,25.2
.flowers,100.0,100.0
.fm,85.0,85.0
.foo,10.2,10.2
.football,18.2,18.2
.forex,30.2,30.2
.forsale,25.2,25.2
.forum,30.2,30.2
.foundation,21.7,21.7
.fun,25.2,25.2
.fund,49.2,49.2
.furniture,80.2,80.2
.futbol,13.2,13.2
.fyi,5.2,5.2
.gallery,19.2,19.2
.game,300.2,300.2
.games,23.2,23.2
.garden,22.2,22.2
.gifts,25.2,25.2
.gives,21.7,21.7
.glass,44.2,44.2
.global,64.2,64.2
.gmbh,28.2,28.2
.gold,75.2,75.2
.golf,45.2,45.2
.graphics,18.2,18.2
.gratis,16.2,16.2
.green,57.2,57.2
.gripe,23.2,23.2
.group,18.2,18.2
.guide,29.2,29.2
.guitars,100.2,100.2
.guru,29.2,29.2
.haus,23.2,23.2
.health,0,0
.healthcare,60.2,60.2
.help,22.2,22.2
.hockey,41.2,41.2
.holdings,45.2,45.2
.holiday,44.2,44.2
.horse,22.2,22.2
.hospital,44.2,44.2
.host,75.2,75.2
.hosting,300.2,300.2
.house,31.2,31.2
.how,20.2,20.2
.icu,12.2,12.2
.immo,24.2,24.2
.immobilien,26.2,26.2
.inc,2000.2,2000.2
.industries,32.2,32.2
.info,19.2,19.2
.ink,19.2,19.2
.institute,19.2,19.2
.insure,50.2,50.2
.international,22.2,22.2
.investments,90.2,90.2
.io,45.0,45.0
.irish,15.2,15.2
.jetzt,16.2,16.2
.jewelry,45.2,45.2
.kaufen,23.2,23.2
.kim,15.2,15.2
.kitchen,45.2,45.2
.land,28.2,28.2
.lawyer,43.2,43.2
.lease,38.2,38.2
.legal,49.2,49.2
.lgbt,56.2,56.2
.life,26.2,26.2
.lighting,18.2,18.2
.limited,25.2,25.2
.limo,38.2,38.2
.link,7.2,7.2
.live,23.2,23.2
.loan,4.18,5.18
.loans,80.2,80.2
.lol,25.2,20.2
.love,20.2,20.2
.ltd,21.2,21.2
.luxe,0,0
.maison,41.2,41.2
.management,18.2,18.2
.market,32.2,32.2
.marketing,28.2,28.2
.markets,12.2,12.2
.mba,27.2,27.2
.me,15.79,15.79
.me.uk,5.21,5.21
.media,32.2,32.2
.memorial,35.7,35.7
.men,4.18,5.18
.miami,15.2,15.2
.mobi,30.2,30.2
.moda,28.2,28.2
.mom,25.2,25.2
.money,27.2,27.2
.monster,12.3,10.2
.mortgage,43.2,43.2
.mov,10.2,10.2
.movie,230.2,230.2
.navy,28.2,28.2
.net,11.86,11.86
.net.ai,70.0,70.0
.net.co,10.0,10.0
.net.uk,0,0
.network,24.2,24.2
.new,400.2,400.2
.news,23.2,23.2
.nexus,10.2,10.2
.ngo,15.2,15.2
.ninja,21.2,21.2
.nom.co,10.0,10.0
.observer,9.2,9.2
.off.ai,70.0,70.0
.ong,15.2,15.2
.online,25.2,25.2
.org,7.5,10.13
.org.ai,70.0,70.0
.org.uk,5.21,5.21
.organic,59.2,59.2
.page,10.2,10.2
.partners,49.2,49.2
.parts,28.2,28.2
.party,4.18,5.18
.pet,17.7,17.7
.phd,20.2,20.2
.photography,25.2,25.2
.photos,0,0
.pics,25.2,20.2
.pictures,10.2,10.2
.pink,17.7,17.7
.pizza,45.2,45.2
.place,15.2,15.2
.plumbing,50.2,50.2
.plus,32.2,32.2
.porn,85.2,85.2
.press,59.2,59.2
.pro,19.2,19.2
.productions,28.2,28.2
.prof,20.2,20.2
.promo,17.2,17.2
.properties,27.2,27.2
.protection,2000.2,2000.2
.pub,28.2,28.2
.racing,10.18,10.18
.realty,280.2,280.2
.recipes,55.2,55.2
.red,16.2,16.2
.rehab,25.2,25.2
.reise,66.2,66.2
.reisen,14.2,14.2
.rent,45.2,45.2
.rentals,31.2,31.2
.repair,25.2,25.2
.report,17.2,17.2
.republican,25.2,25.2
.rest,25.2,25.2
.restaurant,44.2,44.2
.review,10.18,10.18
.reviews,43.2,43.2
.rip,16.2,16.2
.rocks,15.2,15.2
.rodeo,7.2,7.2
.rsvp,10.2,10.2
.run,18.2,18.2
.sale,27.2,27.2
.salon,44.2,44.2
.sarl,23.2,23.2
.school,25.2,25.2
.schule,20.2,20.2
.science,10.18,10.18
.security,2000.2,2000.2
.select,22.2,22.2
.services,28.2,28.2
.sex,85.2,85.2
.sh,45.0,45.0
.shoes,44.2,44.2
.shop,30.2,30.2
.shopping,23.2,23.2
.show,30.2,30.2
.singles,23.2,23.2
.site,25.2,25.2
.ski,46.2,46.2
.soccer,17.2,17.2
.social,27.2,27.2
.software,27.2,27.2
.solar,44.2,44.2
.solutions,22.2,22.2
.soy,18.2,18.2
.space,20.2,20.2
.storage,500.2,500.2
.store,40.2,40.2
.stream,4.18,5.18
.studio,31.2,31.2
.style,27.2,27.2
.supplies,17.2,17.2
.supply,18.2,18.2
.support,19.2,19.2
.surf,22.2,22.2
.surgery,38.2,38.2
.systems,24.2,24.2
.tax,49.2,49.2
.taxi,45.2,45.2
.team,26.2,26.2
.tech,45.2,45.2
.technology,20.2,20.2
.tennis,46.2,46.2
.theater,44.2,44.2
.theatre,500.2,500.2
.tienda,41.2,41.2
.tips,21.2,21.2
.tires,70.2,70.2
.today,20.2,20.2
.tools,25.2,25.2
.tours,44.2,44.2
.town,26.2,26.2
.toys,45.2,45.2
.trade,4.18,5.18
.trading,0,0
.training,28.2,28.2
.travel,100.2,100.2
.tv,25.0,25.0
.uk,5.21,5.21
.university,43.2,43.2
.uno,15.2,15.2
.us,6.5,6.5
.vacations,27.2,27.2
.ventures,41.2,41.2
.vet,29.2,29.2
.viajes,35.2,35.2
.video,25.2,25.2
.villas,42.7,42.7
.vin,41.2,41.2
.vip,12.2,12.2
.vision,27.2,27.2
.vodka,22.2,22.2
.voyage,41.2,41.2
.watch,30.2,30.2
.webcam,10.18,10.18
.website,20.2,20.2
.wedding,22.2,22.2
.wiki,19.2,19.2
.win,4.18,5.18
.wine,41.2,41.2
.work,7.2,7.2
.works,27.2,27.2
.world,29.2,29.2
.wtf,25.2,25.2
.xxx,85.2,85.2
.xyz,12.3,11.2
.yoga,22.2,22.2
.zone,27.2,27.2
